Index       TIME          V(VCO_OUT_P)      V(VCO_OUT_N)         I(VDD)      
70       1.60321137e-12    8.43543281e-01    8.56302233e-01   -8.43634006e-03
71       1.65105832e-12    8.43955670e-01    8.56529884e-01   -8.71080680e-03
72       1.74675222e-12    8.45230481e-01    8.57557863e-01   -9.25858615e-03
73       1.84244611e-12    8.47109602e-01    8.59371508e-01   -9.80401412e-03
74       1.93814001e-12    8.49599831e-01    8.61979222e-01   -1.03459945e-02
75       2.12952780e-12    8.56400440e-01    8.69455975e-01   -1.14147577e-02
76       2.30177681e-12    8.64531169e-01    8.78545088e-01   -1.23544094e-02
77       2.45680092e-12    8.73377154e-01    8.88382937e-01   -1.31772848e-02
78       2.59632262e-12    8.82500493e-01    8.98414095e-01   -1.38962363e-02
79       2.73584432e-12    8.92676761e-01    9.09457067e-01   -1.45921017e-02
80       2.87536602e-12    9.03881496e-01    9.21458555e-01   -1.52625641e-02
81       3.01488772e-12    9.16103713e-01    9.34402306e-01   -1.59053669e-02
82       3.15440942e-12    9.29332717e-01    9.48293533e-01   -1.65182718e-02
83       3.29393112e-12    9.43548546e-01    9.63142313e-01   -1.70990497e-02
84       3.43345282e-12    9.58715316e-01    9.78947009e-01   -1.76454983e-02
85       3.57297452e-12    9.74780938e-01    9.95684538e-01   -1.81554800e-02
86       3.71249622e-12    9.91679526e-01    1.01330678e+00   -1.86269651e-02
87       3.99153962e-12    1.02763180e+00    1.05086437e+00   -1.94463892e-02
88       4.27058302e-12    1.06598153e+00    1.09097331e+00   -2.00920190e-02
89       4.54962641e-12    1.10610231e+00    1.13291376e+00   -2.05540750e-02
90       4.82866981e-12    1.14738350e+00    1.17601563e+00   -2.08257818e-02
91       5.10771321e-12    1.18921160e+00    1.21966881e+00   -2.09032283e-02
92       5.38675661e-12    1.23095198e+00    1.26327813e+00   -2.07853090e-02
93       5.66580001e-12    1.27195403e+00    1.30622302e+00   -2.04737786e-02
94       6.22388681e-12    1.34891024e+00    1.38724088e+00   -1.92973861e-02
95       6.78197361e-12    1.41566995e+00    1.45815853e+00   -1.74447676e-02
96       7.28425173e-12    1.46368508e+00    1.50989524e+00   -1.52886589e-02
97       7.73630203e-12    1.49500627e+00    1.54451678e+00   -1.30411845e-02
98       8.14314731e-12    1.51241843e+00    1.56481626e+00   -1.08456244e-02
99       8.54999258e-12    1.51899512e+00    1.57412288e+00   -8.56070014e-03
100      8.95683786e-12    1.51452412e+00    1.57214198e+00   -6.26004996e-03
101      9.36368314e-12    1.49915584e+00    1.55894902e+00   -4.01778065e-03
102      9.77052841e-12    1.47340041e+00    1.53497244e+00   -1.90605742e-03
103      1.01773737e-11    1.43811725e+00    1.50097007e+00    7.21613396e-06
104      1.05842190e-11    1.39448925e+00    1.45800646e+00    1.66058036e-03
105      1.09910642e-11    1.34398370e+00    1.40742200e+00    3.00100450e-03
106      1.13979095e-11    1.28830529e+00    1.35078643e+00    3.98559911e-03
107      1.18047548e-11    1.22934396e+00    1.28984204e+00    4.58299090e-03
108      1.22116001e-11    1.16911665e+00    1.22644311e+00    4.77431783e-03
109      1.30252906e-11    1.05416015e+00    1.10074791e+00    3.94217860e-03
110      1.36978833e-11    9.72677647e-01    1.00514226e+00    2.10282506e-03
111      1.42577995e-11    9.20720465e-01    9.37002687e-01   -1.10351383e-04
112      1.47223015e-11    8.91729245e-01    8.91002826e-01   -2.31777298e-03
113      1.51403533e-11    8.78243202e-01    8.59026484e-01   -4.51082860e-03
114      1.55165999e-11    8.77156531e-01    8.38410836e-01   -6.58814625e-03
115      1.58928465e-11    8.87007342e-01    8.25701662e-01   -8.70333634e-03
116      1.62690931e-11    9.07968953e-01    8.20789582e-01   -1.07981857e-02
117      1.66453398e-11    9.39945624e-01    8.23317826e-01   -1.28150804e-02
118      1.70215864e-11    9.82556371e-01    8.32711372e-01   -1.46985784e-02
119      1.73978330e-11    1.03510587e+00    8.48232777e-01   -1.63969212e-02
120      1.77740796e-11    1.09653129e+00    8.69074997e-01   -1.78634427e-02
121      1.81503262e-11    1.16532483e+00    8.94491416e-01   -1.90578368e-02
122      1.85265729e-11    1.23939710e+00    9.23989611e-01   -1.99472546e-02
123      1.89028195e-11    1.31598799e+00    9.57469234e-01   -2.05072392e-02
124      1.92790661e-11    1.39187699e+00    9.95075213e-01   -2.07224870e-02
125      1.96553127e-11    1.46413266e+00    1.03657021e+00   -2.05873234e-02
126      2.00315593e-11    1.53063553e+00    1.08095402e+00   -2.01057703e-02
127      2.04078060e-11    1.58986283e+00    1.12674013e+00   -1.92913004e-02
128      2.07840526e-11    1.64061111e+00    1.17226604e+00   -1.81664462e-02
129      2.11602992e-11    1.68187930e+00    1.21588792e+00   -1.67622377e-02
130      2.15365458e-11    1.71281828e+00    1.25611003e+00   -1.51173993e-02
131      2.19127925e-11    1.73271991e+00    1.29166841e+00   -1.32773117e-02
132      2.22890391e-11    1.74099771e+00    1.32160813e+00   -1.12927740e-02
133      2.26652857e-11    1.73708168e+00    1.34542751e+00   -9.21861424e-03
134      2.30415323e-11    1.72010714e+00    1.36340220e+00   -7.11222139e-03
135      2.34177789e-11    1.68928129e+00    1.37623748e+00   -5.03202767e-03
136      2.37940256e-11    1.64519755e+00    1.38387040e+00   -3.03578225e-03
137      2.41702722e-11    1.58940325e+00    1.38590047e+00   -1.17864793e-03
138      2.45465188e-11    1.52354136e+00    1.38220703e+00    4.88328301e-04
139      2.49227654e-11    1.44946474e+00    1.37287503e+00    1.91943500e-03
140      2.52990120e-11    1.36878512e+00    1.35863007e+00    3.07555291e-03
141      2.56752587e-11    1.28201031e+00    1.34162586e+00    3.92527099e-03
142      2.60138806e-11    1.19797043e+00    1.32704072e+00    4.40912196e-03
143      2.63525026e-11    1.10751505e+00    1.31617271e+00    4.61548554e-03
144      2.66911245e-11    1.01088870e+00    1.31096025e+00    4.53990165e-03
145      2.70297465e-11    9.09551322e-01    1.31222496e+00    4.18410606e-03
146      2.73345063e-11    8.17568093e-01    1.31750991e+00    3.63061023e-03
147      2.73772791e-11    8.04927816e-01    1.31837090e+00    3.53359952e-03
148      2.74200520e-11    7.92367722e-01    1.31920122e+00    3.43453260e-03
149      2.74628249e-11    7.79971896e-01    1.31996685e+00    3.33137070e-03
150      2.75483706e-11    7.55707274e-01    1.32128390e+00    3.11292404e-03
151      2.77194621e-11    7.09474399e-01    1.32301591e+00    2.62873625e-03
152      2.78905535e-11    6.66514549e-01    1.32355444e+00    2.08359910e-03
153      2.80616450e-11    6.27008771e-01    1.32298999e+00    1.48061932e-03
154      2.82327364e-11    5.91059052e-01    1.32146603e+00    8.23266182e-04
155      2.84038279e-11    5.58724917e-01    1.31914636e+00    1.15337652e-04
156      2.85749194e-11    5.30041402e-01    1.31619985e+00   -6.39068738e-04
157      2.87460108e-11    5.05026955e-01    1.31279161e+00   -1.43558376e-03
158      2.89171023e-11    4.83686929e-01    1.30907900e+00   -2.26959539e-03
159      2.90881937e-11    4.66011867e-01    1.30521261e+00   -3.13627853e-03
160      2.92592852e-11    4.51973377e-01    1.30134061e+00   -4.03062517e-03
161      2.94303767e-11    4.41520408e-01    1.29761263e+00   -4.94747414e-03
162      2.96014681e-11    4.34578908e-01    1.29418030e+00   -5.88154079e-03
163      2.97725596e-11    4.31054351e-01    1.29119445e+00   -6.82744657e-03
164      2.99436510e-11    4.30836215e-01    1.28880042e+00   -7.77974904e-03
165      3.01147425e-11    4.33802627e-01    1.28713298e+00   -8.73297233e-03
166      3.02858340e-11    4.39824550e-01    1.28631199e+00   -9.68163792e-03
167      3.04569254e-11    4.48768909e-01    1.28643910e+00   -1.06202958e-02
168      3.06280169e-11    4.60500792e-01    1.28759553e+00   -1.15435556e-02
169      3.07991084e-11    4.74884943e-01    1.28984079e+00   -1.24461177e-02
170      3.09701998e-11    4.91786455e-01    1.29321234e+00   -1.33228040e-02
171      3.11412913e-11    5.11071117e-01    1.29772584e+00   -1.41685878e-02
172      3.13123827e-11    5.32605347e-01    1.30337594e+00   -1.49786229e-02
173      3.14834742e-11    5.56255828e-01    1.31013757e+00   -1.57482718e-02
174      3.16545657e-11    5.81888849e-01    1.31796755e+00   -1.64731317e-02
175      3.19967486e-11    6.38487913e-01    1.33653837e+00   -1.77705061e-02
176      3.23389315e-11    7.01350550e-01    1.35849297e+00   -1.88435163e-02
177      3.26811144e-11    7.69293130e-01    1.38306961e+00   -1.96678318e-02
178      3.30232973e-11    8.41052213e-01    1.40941776e+00   -2.02248148e-02
